match_sources.match_source_ref.type,match_sources.match_source_ref.value,match_destinations.match_destination_ref.type,match_destinations.match_destination_ref.value,match_services.match_service_ref.type,match_services.match_service_ref.value,match_services.match_service_ref.ref_key,user_match.user.class_id,user_match.user.display_name,user_match.user.domain,user_match.user.ref,user_match.auth_service.ref,user_match.auth_service.ref_key,match_sources.match_source_ref.ref_key
network_element | network_element | network_element,AIC RProxy Network | network-10.53.117.0/24 | network-10.53.118.0/24,network_element,Not Internal,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element | network_element,host-10.53.10.10 | host-10.53.10.20,network_element | network_element,ISE_mcit2 | ISE_mcit4,service | service,RADIUS (Authentication) | TACACS (TCP),428 | 384,,,,,,,
network_element | network_element | network_element | network_element,AIC SWD | Alexandria_R&D_Team_126    | Alexandria_Software_129 | Cairo_R&D_Team_126-,network_element | network_element,host-10.53.116.250 | host-10.53.116.253,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element | network_element | network_element | network_element,10.53.116.248 | 10.53.116.249 | host-10.53.116.250 | host-10.53.116.253,network_element,network-10.53.118.0/24,service | service | service | service | service | service,31000-31199 | 5000-6999 | 8080 | 8081 | HTTP | HTTPS,330 | 332,,,,,,,
network_element | network_element | network_element,AIC RProxy Network | network-10.53.117.0/24 | network-10.53.118.0/24,network_element,network-10.53.101.0/24,service | service | service | service | service | service | service | service | service,137 | 138 | 139 | 445 | Sun RPC (UDP) | TCP_139 | tcp_service_111 | tcp_service_2049 | udp_service_2049,437,,,,,,,
network_element,host-10.53.125.124,network_element,10.53.101.252,service,Ping,453,,,,,,,
network_element,alex-wireless,network_element,IT Assets Inventory,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,R-10.53.74.254,network_element,10.53.105.252,service | service | service,HTTP | HTTPS | Photuris (ICMP),330 | 332 | 365,,,,,,,
network_element,AIC-CAI-IT,network_element,Not Internal,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server | Cairo_EPM_Stg_Web_Server,network_element,Not Internal,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,AI_Wireless,network_element | network_element,imap.gmail.com | smtp.gmail.com,service | service | service,465 | IMAPS | SMTP Submission Service,336 | 12005,,,,,,,
network_element,Cairo_R&D_Team_126,network_element | network_element,imap.gmail.com | smtp.gmail.com,service | service | service,465 | IMAPS | SMTP Submission Service,336 | 12005,,,,,,,
network_element | network_element,R&D Jump Machine | SW Jump Machine,network_element,network-10.53.107.0/24,service | service,3000-10000 | 30000-32768,,,,,,,,
network_element,10.54.125.0,network_element,network-10.53.123.0/24,service,Remote Desktop,281,,,,,,,
network_element | network_element,10.54.135.0/24 | network-10.53.118.0/24,network_element,10.53.123.250,service,SMTP,376,,,,,,,
network_element,10.54.135.0/24,network_element,network-10.53.107.0/24,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,AIC-Pool,network_element | network_element,Cairo_R&D_Team_126 | network-10.53.125.0/24,service | service | service | service,5900 | 9090 | Remote Desktop | tcp_service_22,281,,,,,,,
network_element,Explatory VM,network_element,10.53.101.247,service | service | service | service,tcp_service_111 | tcp_service_2049 | udp_service_111 | udp_service_2049,,,,,,,,
network_element | network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126,network_element,10.53.150.245,service | service | service | service,5432 | 5555 | 8888 | 9000,,,,,,,,
network_element | network_element,10.53.106.219 | 10.53.106.220,network_element,10.53.150.245,service | service | service | service,5432 | 5555 | 8888 | 9000,,,,,,,,
network_element,10.53.105.252,network_element,10.53.150.245,service,5555,,,,,,,,
network_element,Wazuh server  ,network_element | network_element,AD1 | AD2,service | service | service,LDAP (TCP) | LDAP (UDP) | LDAPS (TCP),347 | 457 | 348,,,,,,,
network_element,10.54.125.0,network_element | network_element,dns1 | dns2,service | service,DNS (TCP) | DNS (UDP),321 | 414,,,,,,,
network_element,10.54.125.0,network_element | network_element,AD1 | AD2,service | service | service | service | service | service | service | service | service | service | service | service | service,3268-3269 | 445 | 464 | 49152:49215 | 88 | 88-tcp | AD_services | Kpasswd | LDAP (TCP) | LDAP (UDP) | LDAPS (TCP) | Remote Desktop | tcp_service_135,345 | 347 | 457 | 348 | 281,,,,,,,
network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.135.100,network_element,ssh.axisapps.io,service | service,ssh | tcp_service_22,,,,,,,,
network_element | network_element | network_element | network_element,10.53.130.0/24 | AI_Wireless | AIC-CAI-IT | Cairo_R&D_Team_126-,network_element,Not Internal,service | service,ssh | tcp_service_22,,,,,,,,
network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126-,network_element,host-10.53.106.218,service | service | service,20-21/tcp | 30000-30099 | 5555,,,,,,,,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,10.53.107.100,service | service | service,6443 | HTTP | HTTPS,330 | 332,,,,,,,
network_element,network-10.53.105.0/24,network_element,10.53.106.240,service | service,1514-1515 | 55000,,,,,,,,
