match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,Cairo_HPC_Team_130,
network_element | network_element,10.54.200.0/24 | Alexandria_R&D_Team_126   ,
network_element | network_element | network_element | network_element,AIC SWD | Alexandria_R&D_Team_126    | Alexandria_Software_129 | Cairo_R&D_Team_126-,
network_element | network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server | Cairo_EPM_Stg_Web_Server | network-10.53.41.0/24,
network_element,host-10.53.125.124,
network_element,10.54.230.10,
network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,
network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.54.200.0/24 | AI_Wireless | AIC Operations | alex-wireless | Alexandria_R&D_Team_126    | Cairo_HPC_Team_130 | Cairo_R&D_Team_126,
network_element,Cairo_EPM_Prd_Web_Server,
network_element | network_element,Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_Web_Server,
network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server,
network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server | Cairo_EPM_Stg_Web_Server,
network_element | network_element | network_element | network_element,AIC SWD | AIC-CAI-IT | Alexandria_IT_Admin_125 | Alexandria_Software_129,
network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,
